,RB1,CDH1,PTEN,BRCA2,CDKN2A,TP53,CTNNB1,CCNE1,CCND1,CDH2,CDH3,ERBB2,ERBB3
TCGA-A8-A075-01,-0.06074500000000001,-0.40381,0.29361,-0.19852,0.16627999999999998,-0.04245,-0.5073,-0.8591,0.044302999999999995,-0.11357,-0.10777,-0.17254,0.63485
TCGA-A8-A076-01,0.034554,-0.8127800000000001,0.29577,-0.061385,-0.21873,0.00099394,-0.58372,-0.9799399999999999,0.20524,-0.076288,-0.077909,1.166,0.75838
TCGA-A8-A079-01,0.1492,-0.51194,0.061591,0.022039,-0.18633,0.25042,-0.75369,-1.2096,0.5472199999999999,0.22709000000000001,-0.18128,-0.57663,0.2678
TCGA-A8-A07E-01,0.72109,-1.6482,-0.51765,-0.14047,-0.75315,-0.063626,-2.0672,-0.7689,0.59014,0.52104,0.32163,-1.1531,0.9448700000000001
TCGA-A8-A07F-01,0.12376,-2.615,0.048462,0.12933,-0.11002999999999999,-0.29796999999999996,-1.1881,-0.72934,0.09235700000000001,-0.32263000000000003,0.14032,-0.57217,-0.21086999999999997
TCGA-A8-A07I-01,-0.28389000000000003,-0.023647,0.49911000000000005,-0.25839,-0.36594,-0.16488,0.014188,-0.8975700000000001,0.13960999999999998,-0.069713,-0.040943,3.5448,0.38658000000000003
TCGA-A8-A07O-01,-0.1979,-0.73135,0.11327999999999999,0.051990999999999996,2.1107,-0.18317999999999998,-1.1852,0.96421,-0.10362,-0.53923,0.12715,-0.78514,-0.61919
TCGA-A8-A07P-01,-0.091023,0.3975,-0.31135,0.30330999999999997,-0.030233999999999997,-0.39649,-0.74132,-0.57034,0.3557,-0.24522,-0.09421399999999999,0.6926,-0.017931
TCGA-A8-A07R-01,-0.042564,-0.2862,-0.43688,-0.098174,1.8649,0.78487,-0.27478,0.6318600000000001,-0.12932000000000002,-0.057022,-0.16278,0.0017712,0.88203
TCGA-A8-A07W-01,-0.15583,1.8968,0.65814,-0.20122,0.20542,0.13608,1.6413,-0.9637399999999999,0.60164,-0.44974,-0.10003,0.65525,0.3707
TCGA-A8-A081-01,-0.19503,0.49458,-0.1899,0.068108,0.08744299999999999,0.12500999999999998,-0.30968,-0.57406,0.0662,-0.52862,-0.029257,1.0264,0.32863000000000003
TCGA-A8-A082-01,-0.038494,0.72788,0.40133,0.11519000000000001,-0.25301,-0.30357,-0.057740999999999994,-0.6905,1.0752,-0.45756,-0.2042,0.64122,0.9274399999999999
TCGA-A8-A083-01,-0.1182,1.1482,0.64136,-0.31742,-0.6453800000000001,-0.12886,1.2888,-1.0166,0.039658,-0.5774199999999999,-0.084505,1.2024,0.73451
